hour,day_name,day,trades,win_rate,pnl,avg_pnl,sharpe
15,Tuesday,1,206,56.310679611650485,21.879999999999995,0.10621359223300969,2.040595033149142
16,Wednesday,2,183,56.284153005464475,19.339999999999996,0.1056830601092896,2.0296420387677845
14,Sunday,6,221,56.10859728506787,22.579999999999995,0.10217194570135744,1.9622704689077677
3,Monday,0,189,56.08465608465608,19.219999999999995,0.10169312169312167,1.9522069907343995
10,Monday,0,255,56.07843137254902,25.899999999999995,0.10156862745098037,1.9511287964888777
4,Thursday,3,280,56.07142857142857,28.399999999999995,0.10142857142857141,1.948747094365846
8,Tuesday,1,346,56.06936416184971,35.07999999999999,0.1013872832369942,1.9486097016323678
3,Saturday,5,182,56.043956043956044,18.359999999999996,0.10087912087912086,1.9361884607378754
12,Friday,4,311,55.948553054662376,30.779999999999994,0.09897106109324758,1.9013006503155951
16,Friday,4,186,55.91397849462365,18.279999999999998,0.0982795698924731,1.885812127029693
16,Tuesday,1,163,55.828220858895705,15.739999999999997,0.09656441717791409,1.851816397085884
2,Sunday,6,242,55.78512396694215,23.159999999999997,0.09570247933884296,1.8369488217458159
9,Sunday,6,278,55.75539568345324,26.439999999999994,0.09510791366906472,1.8258999181207192
15,Sunday,6,176,55.68181818181818,16.479999999999997,0.09363636363636361,1.7954610789934946
10,Friday,4,259,55.5984555984556,23.819999999999997,0.09196911196911195,1.7647695367843523
14,Tuesday,1,277,55.5956678700361,25.459999999999994,0.091913357400722,1.7639106250550105
4,Friday,4,243,55.55555555555556,22.139999999999997,0.0911111111111111,1.7479131001744095
18,Friday,4,220,55.45454545454545,19.599999999999994,0.08909090909090907,1.7084027889870632
21,Monday,0,220,55.45454545454545,19.599999999999994,0.08909090909090907,1.7084027889870632
1,Thursday,3,258,55.42635658914728,22.839999999999996,0.08852713178294572,1.6980571621033314
10,Wednesday,2,325,55.38461538461539,28.499999999999993,0.08769230769230767,1.6825650652913808
2,Tuesday,1,235,55.319148936170215,20.299999999999997,0.08638297872340424,1.6562280909831537
10,Saturday,5,255,55.294117647058826,21.899999999999995,0.08588235294117645,1.6468169846621774
20,Wednesday,2,228,55.26315789473685,19.439999999999998,0.08526315789473683,1.6344545324825537
8,Friday,4,315,55.23809523809524,26.699999999999996,0.08476190476190475,1.6257473867964907
1,Monday,0,147,55.10204081632652,12.059999999999997,0.0820408163265306,1.5702435844322458
6,Sunday,6,207,55.072463768115945,16.859999999999996,0.08144927536231882,1.5603734221560919
15,Saturday,5,264,54.92424242424242,20.719999999999995,0.07848484848484846,1.5039195905558593
0,Sunday,6,224,54.91071428571429,17.519999999999996,0.0782142857142857,1.4981859438091134
21,Tuesday,1,204,54.90196078431373,15.919999999999996,0.07803921568627449,1.4944779448285128
5,Friday,4,261,54.78927203065134,19.779999999999994,0.07578544061302679,1.4517777020344074
11,Thursday,3,311,54.662379421221864,22.779999999999994,0.07324758842443728,1.4032556247226966
4,Sunday,6,161,54.6583850931677,11.779999999999998,0.07316770186335403,1.3996067044565759
3,Thursday,3,284,54.5774647887324,20.319999999999993,0.07154929577464786,1.370293140394194
18,Sunday,6,165,54.54545454545454,11.699999999999998,0.0709090909090909,1.3562206846433753
8,Monday,0,261,54.406130268199234,17.779999999999994,0.06812260536398465,1.3040581587875266
6,Tuesday,1,315,54.285714285714285,20.699999999999996,0.0657142857142857,1.2581054043432771
6,Thursday,3,297,54.20875420875421,19.059999999999995,0.06417508417508416,1.2283569051344057
2,Monday,0,155,54.19354838709678,9.899999999999997,0.06387096774193546,1.2206111283200827
4,Wednesday,2,251,54.18326693227091,15.979999999999995,0.0636653386454183,1.2181702269038095
13,Thursday,3,325,54.15384615384615,20.499999999999993,0.06307692307692306,1.207401341705842
12,Tuesday,1,311,54.019292604501615,18.779999999999994,0.06038585209003214,1.1555533935347482
18,Thursday,3,226,53.98230088495575,13.479999999999997,0.05964601769911503,1.1406352353935965
11,Sunday,6,267,53.93258426966292,15.659999999999995,0.05865168539325841,1.1219140327475436
6,Friday,4,293,53.92491467576792,17.139999999999993,0.05849829351535834,1.1191529452601272
11,Tuesday,1,310,53.87096774193548,17.799999999999994,0.057419354838709656,1.0985215407611424
17,Monday,0,184,53.80434782608695,10.319999999999997,0.05608695652173911,1.071730788080867
20,Monday,0,238,53.78151260504202,13.239999999999995,0.05563025210084031,1.0636256173583247
7,Thursday,3,305,53.77049180327869,16.899999999999995,0.05540983606557375,1.0598844804298093
17,Wednesday,2,192,53.645833333333336,10.159999999999997,0.05291666666666665,1.0110266375438413
19,Saturday,5,213,53.52112676056338,10.739999999999997,0.05042253521126759,0.9634492072148916
23,Sunday,6,178,53.37078651685393,8.439999999999998,0.04741573033707864,0.9053878589043904
14,Thursday,3,314,53.18471337579618,13.719999999999995,0.04369426751592355,0.8351432777321824
18,Wednesday,2,215,53.02325581395348,8.699999999999996,0.04046511627906975,0.7726987920882192
22,Wednesday,2,187,52.94117647058824,7.259999999999996,0.03882352941176469,0.7410197663474616
13,Tuesday,1,292,52.73972602739726,10.159999999999995,0.034794520547945185,0.6646076097863184
5,Thursday,3,277,52.707581227436826,9.459999999999996,0.034151624548736444,0.6522440916661499
10,Tuesday,1,317,52.6813880126183,10.659999999999995,0.03362776025236591,0.6423676867545313
22,Saturday,5,224,52.67857142857143,7.519999999999996,0.03357142857142855,0.6408682603279717
5,Monday,0,251,52.589641434262944,7.979999999999995,0.03179282868525894,0.6070046600369735
9,Thursday,3,293,52.55972696245734,9.139999999999995,0.03119453924914674,0.5957341375060313
14,Wednesday,2,322,52.484472049689444,9.559999999999995,0.029689440993788806,0.5670349675055508
4,Tuesday,1,225,52.44444444444445,6.4999999999999964,0.028888888888888874,0.5513528842692872
9,Tuesday,1,307,52.44299674267101,8.859999999999994,0.028859934853420175,0.5511277997157824
5,Tuesday,1,254,52.362204724409445,6.9199999999999955,0.027244094488188958,0.5200527864297052
10,Sunday,6,254,52.362204724409445,6.9199999999999955,0.027244094488188958,0.5200527864297052
18,Tuesday,1,191,52.35602094240838,5.179999999999996,0.02712041884816752,0.517351386105805
18,Monday,0,199,52.26130653266332,5.019999999999996,0.025226130653266312,0.4812245093097662
12,Wednesday,2,335,52.23880597014925,8.299999999999994,0.024776119402985054,0.4731145922262366
10,Thursday,3,316,52.21518987341772,7.679999999999994,0.024303797468354413,0.4640437699818057
13,Sunday,6,263,52.09125475285171,5.739999999999995,0.0218250950570342,0.41653887931559375
9,Wednesday,2,313,52.07667731629393,6.739999999999995,0.021533546325878578,0.4110948437764546
5,Wednesday,2,266,51.8796992481203,4.679999999999995,0.017593984962406,0.3357375216814109
9,Monday,0,245,51.83673469387755,4.099999999999996,0.016734693877551006,0.3192782248385717
9,Friday,4,318,51.57232704402516,3.6399999999999944,0.011446540880503127,0.21844977759491832
1,Tuesday,1,280,51.42857142857142,2.399999999999995,0.008571428571428555,0.16353098927659365
19,Thursday,3,238,51.26050420168067,1.2399999999999958,0.005210084033613427,0.09936076035105951
15,Thursday,3,281,51.245551601423486,1.379999999999995,0.004911032028469733,0.09368711145395536
3,Wednesday,2,258,51.162790697674424,0.8399999999999954,0.0032558139534883544,0.062098368924375515
8,Wednesday,2,325,50.76923076923077,-1.5000000000000058,-0.004615384615384633,-0.08805145904844223
