timestamp,signal,win,pnl,capital,regime_vol,regime_trend
2025-10-14 01:45:00,YES,False,-1.02,2547.100000000439,Low,Strong
2025-10-14 02:00:00,YES,False,-1.02,2546.080000000439,Low,Strong
2025-10-14 02:15:00,YES,False,-1.02,2545.0600000004392,Low,Strong
2025-10-14 02:45:00,YES,False,-1.02,2544.0400000004392,Low,Strong
2025-10-14 03:00:00,YES,False,-1.02,2543.0200000004393,Low,Strong
2025-10-14 03:15:00,YES,True,0.98,2544.0000000004393,Low,Strong
2025-10-14 03:45:00,YES,False,-1.02,2542.9800000004393,Low,Strong
2025-10-14 04:00:00,YES,True,0.98,2543.9600000004393,Low,Strong
2025-10-14 04:15:00,YES,False,-1.02,2542.9400000004393,Low,Strong
2025-10-14 04:45:00,YES,True,0.98,2543.9200000004394,Medium,Strong
2025-10-14 05:00:00,YES,False,-1.02,2542.9000000004394,Medium,Strong
2025-10-14 05:15:00,YES,False,-1.02,2541.8800000004394,Medium,Strong
2025-10-14 05:45:00,YES,True,0.98,2542.8600000004394,Medium,Strong
2025-10-14 06:00:00,YES,False,-1.02,2541.8400000004394,Medium,Strong
2025-10-14 06:15:00,YES,False,-1.02,2540.8200000004394,Medium,Strong
2025-10-14 06:45:00,YES,False,-1.02,2539.8000000004395,Medium,Strong
2025-10-14 07:00:00,YES,True,0.98,2540.7800000004395,Medium,Strong
2025-10-14 07:15:00,YES,False,-1.02,2539.7600000004395,Medium,Strong
2025-10-14 07:45:00,YES,True,0.98,2540.7400000004395,Medium,Strong
2025-10-14 08:00:00,YES,True,0.98,2541.7200000004395,Medium,Strong
2025-10-14 08:15:00,YES,True,0.98,2542.7000000004396,Medium,Strong
2025-10-14 08:45:00,YES,False,-1.02,2541.6800000004396,Medium,Strong
2025-10-14 09:00:00,YES,False,-1.02,2540.6600000004396,Medium,Strong
2025-10-14 09:15:00,YES,False,-1.02,2539.6400000004396,Medium,Strong
2025-10-14 09:45:00,YES,False,-1.02,2538.6200000004396,Medium,Strong
2025-10-14 10:00:00,YES,False,-1.02,2537.6000000004396,Medium,Strong
2025-10-14 10:15:00,YES,False,-1.02,2536.5800000004397,Medium,Strong
2025-10-14 10:45:00,YES,True,0.98,2537.5600000004397,Medium,Strong
2025-10-14 11:00:00,YES,True,0.98,2538.5400000004397,Medium,Strong
2025-10-14 11:45:00,YES,False,-1.02,2537.5200000004397,Medium,Strong
2025-10-14 12:00:00,YES,False,-1.02,2536.5000000004397,Medium,Strong
2025-10-14 12:15:00,YES,False,-1.02,2535.4800000004398,Medium,Strong
2025-10-14 12:45:00,YES,False,-1.02,2534.46000000044,Medium,Strong
2025-10-14 13:00:00,YES,True,0.98,2535.44000000044,Medium,Strong
2025-10-14 13:15:00,YES,False,-1.02,2534.42000000044,Medium,Strong
2025-10-14 17:45:00,NO,False,-1.02,2533.40000000044,High,Medium
2025-10-14 18:00:00,NO,True,0.98,2534.38000000044,High,Medium
2025-10-14 18:15:00,NO,True,0.98,2535.36000000044,High,Medium
2025-10-14 18:45:00,NO,False,-1.02,2534.34000000044,High,Medium
2025-10-14 19:00:00,NO,False,-1.02,2533.32000000044,High,Medium
2025-10-14 19:15:00,NO,True,0.98,2534.30000000044,High,Medium
2025-10-14 21:45:00,NO,False,-1.02,2533.28000000044,Medium,Weak
2025-10-14 22:00:00,NO,True,0.98,2534.26000000044,Medium,Weak
2025-10-14 23:00:00,NO,True,0.98,2535.24000000044,Low,Weak
2025-10-14 23:15:00,NO,True,0.98,2536.22000000044,Low,Weak
2025-10-15 01:15:00,YES,True,0.98,2537.20000000044,Low,Medium
2025-10-15 02:15:00,NO,True,0.98,2538.18000000044,Low,Medium
2025-10-15 03:15:00,YES,False,-1.02,2537.16000000044,Low,Medium
2025-10-15 03:45:00,YES,False,-1.02,2536.14000000044,Low,Medium
2025-10-15 04:00:00,YES,True,0.98,2537.12000000044,Low,Medium
