timestamp,entry_price,exit_price,entry_time,exit_time,rsi,bb_position,signal,predicted,actual,win,outcome,pnl,capital_after,regime_vol,regime_trend,hour,weekday,day_name
2024-02-15 00:15:00,52269.19,52357.99,2024-02-15 00:15:00,2024-02-15 00:30:00,73.15328004896085,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,110080.0,Medium,Weak,0,3,Thursday
2024-02-15 00:30:00,52357.99,52321.2,2024-02-15 00:30:00,2024-02-15 00:45:00,74.99534391736239,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110174.0,Medium,Weak,0,3,Thursday
2024-02-15 00:45:00,52321.2,52114.92,2024-02-15 00:45:00,2024-02-15 01:00:00,72.76766101062378,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110268.0,Medium,Weak,0,3,Thursday
2024-02-15 01:00:00,52114.92,51938.21,2024-02-15 01:00:00,2024-02-15 01:15:00,61.700855549779625,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110362.0,Medium,Weak,1,3,Thursday
2024-02-15 02:30:00,52178.58,52048.46,2024-02-15 02:30:00,2024-02-15 02:45:00,61.10286763212787,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110456.0,Medium,Weak,2,3,Thursday
2024-02-15 03:15:00,52273.55,52331.1,2024-02-15 03:15:00,2024-02-15 03:30:00,62.214493597826326,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,110354.0,Medium,Weak,3,3,Thursday
2024-02-15 03:30:00,52331.1,52343.32,2024-02-15 03:30:00,2024-02-15 03:45:00,63.75991409090911,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,110252.0,Medium,Weak,3,3,Thursday
2024-02-15 03:45:00,52343.32,52240.41,2024-02-15 03:45:00,2024-02-15 04:00:00,64.0957122393811,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110346.0,Medium,Weak,3,3,Thursday
2024-02-15 04:30:00,52359.07,52140.0,2024-02-15 04:30:00,2024-02-15 04:45:00,62.857782636735,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110440.0,Medium,Weak,4,3,Thursday
2024-02-15 07:30:00,51727.99,51776.61,2024-02-15 07:30:00,2024-02-15 07:45:00,38.84398339053641,lower,BUY_YES,UP,UP,True,WIN,94.0,110534.0,Medium,Weak,7,3,Thursday
2024-02-15 07:45:00,51776.61,51793.02,2024-02-15 07:45:00,2024-02-15 08:00:00,41.020605596835516,lower,BUY_YES,UP,UP,True,WIN,94.0,110628.0,Medium,Weak,7,3,Thursday
2024-02-15 08:00:00,51793.02,51942.01,2024-02-15 08:00:00,2024-02-15 08:15:00,41.77385742615511,lower,BUY_YES,UP,UP,True,WIN,94.0,110722.0,Medium,Weak,8,3,Thursday
2024-02-15 09:30:00,52177.27,52165.99,2024-02-15 09:30:00,2024-02-15 09:45:00,58.03048180723799,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110816.0,Medium,Weak,9,3,Thursday
2024-02-15 10:00:00,52274.0,52200.01,2024-02-15 10:00:00,2024-02-15 10:15:00,61.43770984978574,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,110910.0,Medium,Weak,10,3,Thursday
2024-02-15 10:30:00,52290.26,52286.7,2024-02-15 10:30:00,2024-02-15 10:45:00,60.79479741404387,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,111004.0,Medium,Weak,10,3,Thursday
2024-02-15 10:45:00,52286.7,52236.31,2024-02-15 10:45:00,2024-02-15 11:00:00,60.59319713466914,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,111098.0,Medium,Weak,10,3,Thursday
2024-02-15 11:15:00,52373.31,52241.1,2024-02-15 11:15:00,2024-02-15 11:30:00,62.903810140496354,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,111192.0,Medium,Weak,11,3,Thursday
2024-02-15 11:45:00,52330.0,52275.99,2024-02-15 11:45:00,2024-02-15 12:00:00,59.116553255001,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,111286.0,Medium,Weak,11,3,Thursday
2024-02-15 12:15:00,52359.99,52395.36,2024-02-15 12:15:00,2024-02-15 12:30:00,59.527753412011194,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,111184.0,Medium,Weak,12,3,Thursday
2024-02-15 12:30:00,52395.36,52331.94,2024-02-15 12:30:00,2024-02-15 12:45:00,60.83465610226988,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,111278.0,Medium,Weak,12,3,Thursday
2024-02-15 14:15:00,52424.81,52595.0,2024-02-15 14:15:00,2024-02-15 14:30:00,60.54623485089709,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,111176.0,Medium,Weak,14,3,Thursday
2024-02-15 14:30:00,52595.0,52621.31,2024-02-15 14:30:00,2024-02-15 14:45:00,66.2526503174511,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,111074.0,Medium,Weak,14,3,Thursday
2024-02-15 14:45:00,52621.31,52395.3,2024-02-15 14:45:00,2024-02-15 15:00:00,67.0461604005331,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,111168.0,Medium,Weak,14,3,Thursday
2024-02-15 15:30:00,51959.45,51948.23,2024-02-15 15:30:00,2024-02-15 15:45:00,39.66863585734004,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,111066.0,Medium,Weak,15,3,Thursday
2024-02-15 15:45:00,51948.23,51757.25,2024-02-15 15:45:00,2024-02-15 16:00:00,39.35459057530813,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,110964.0,Medium,Weak,15,3,Thursday
2024-02-15 16:00:00,51757.25,52271.01,2024-02-15 16:00:00,2024-02-15 16:15:00,34.36724520089909,lower,BUY_YES,UP,UP,True,WIN,94.0,111058.0,Medium,Weak,16,3,Thursday
2024-02-15 17:45:00,51875.59,52033.04,2024-02-15 17:45:00,2024-02-15 18:00:00,40.24306324485744,lower,BUY_YES,UP,UP,True,WIN,94.0,111152.0,Medium,Weak,17,3,Thursday
2024-02-15 18:30:00,51918.87,51977.99,2024-02-15 18:30:00,2024-02-15 18:45:00,42.51410845913946,lower,BUY_YES,UP,UP,True,WIN,94.0,111246.0,Medium,Weak,18,3,Thursday
2024-02-15 20:15:00,51755.28,51807.79,2024-02-15 20:15:00,2024-02-15 20:30:00,39.16544451277925,lower,BUY_YES,UP,UP,True,WIN,94.0,111340.0,Medium,Weak,20,3,Thursday
2024-02-15 20:45:00,51686.0,51771.73,2024-02-15 20:45:00,2024-02-15 21:00:00,37.87789378576937,lower,BUY_YES,UP,UP,True,WIN,94.0,111434.0,Medium,Weak,20,3,Thursday
