hour,day_name,trades,wins,losses,win_rate,total_pnl,avg_pnl,sharpe,best_trade,worst_trade,profit_factor,z_score,p_value,ci_95_lower,ci_95_upper,is_significant
22,Thursday,174,104,70,59.77011494252874,30.519999999999996,0.17540229885057468,3.4070907671471167,0.98,-1.02,1.427450980392158,1.2964284639642245,0.1948279109087645,52.34895709142323,66.76917949754133,NO
0,Wednesday,193,115,78,59.58549222797927,33.13999999999999,0.17170984455958546,3.3338394315457816,0.98,-1.02,1.416540975364506,1.313833773750483,0.1889021492628291,52.54040885294873,66.256430839474,NO
0,Saturday,163,97,66,59.50920245398773,27.74,0.1701840490797546,3.3016327474440503,0.98,-1.02,1.4120617944147364,1.1878387453798802,0.23489694635520575,51.83844053343507,66.74205737595923,NO
12,Saturday,237,141,96,59.49367088607595,40.26,0.16987341772151898,3.2985787947979377,0.98,-1.02,1.4111519607843148,1.4275077056034566,0.15343360569871778,53.1404556908185,65.54402406683133,NO
1,Wednesday,232,138,94,59.48275862068966,39.36,0.1696551724137931,3.2940489899643914,0.98,-1.02,1.4105131414267846,1.4090291812515052,0.1588265396049673,53.060810216486665,65.59577963025795,NO
23,Saturday,232,138,94,59.48275862068966,39.36,0.1696551724137931,3.294048989964392,0.98,-1.02,1.4105131414267846,1.4090291812515052,0.1588265396049673,53.060810216486665,65.59577963025795,NO
20,Thursday,258,153,105,59.30232558139535,42.839999999999996,0.16604651162790696,3.2224207280920365,0.98,-1.02,1.400000000000001,1.427645545677614,0.15339390712472967,53.2137278456835,65.11796581949424,NO
1,Sunday,235,139,96,59.148936170212764,38.3,0.16297872340425532,3.16043011514936,0.98,-1.02,1.3911356209150334,1.3152711217600346,0.18841879991691624,52.765909885082095,65.23765398318876,NO
5,Sunday,210,124,86,59.04761904761905,33.8,0.16095238095238093,3.119152182183425,0.98,-1.02,1.3853169174646616,1.2138378077929546,0.22480966570518124,52.29208602572286,65.4780765619121,NO
7,Saturday,221,130,91,58.82352941176471,34.58,0.1564705882352941,3.030150900473111,0.98,-1.02,1.3725490196078438,1.1782768575019396,0.23868625078050498,52.23794259226886,65.10760200446057,NO
0,Monday,165,97,68,58.78787878787879,25.699999999999996,0.15575757575757573,3.013624849822667,0.98,-1.02,1.3705305651672444,1.0089036984796114,0.31302082129993614,51.16064489003368,66.01521698286967,NO
4,Monday,212,124,88,58.490566037735846,31.759999999999998,0.14981132075471698,2.8974640009270094,0.98,-1.02,1.3538324420677372,1.0566099945839564,0.2906896172188189,51.76408888920923,64.91480896922029,NO
3,Sunday,191,111,80,58.1151832460733,27.179999999999996,0.14230366492146596,2.748017682497116,0.98,-1.02,1.3330882352941187,0.8986579729829144,0.3688348691473953,51.02564414742742,64.88471585782814,NO
23,Wednesday,245,142,103,57.95918367346938,34.099999999999994,0.13918367346938773,2.6879420535771485,0.98,-1.02,1.3245764325147547,0.9687263056942529,0.33268176399208915,51.70182099682822,63.97079965823909,NO
23,Thursday,164,95,69,57.92682926829268,22.72,0.13853658536585364,2.6724543395505145,0.98,-1.02,1.3228189826655312,0.7842477647390039,0.4328947430745047,50.27443020175245,65.21636588217429,NO
3,Friday,242,140,102,57.85123966942148,33.16,0.13702479338842974,2.64525590795148,0.98,-1.02,1.318723567858517,0.9290316930897499,0.3528726618645037,51.554606825318416,63.902500515343206,NO
22,Monday,222,128,94,57.65765765765766,29.559999999999995,0.13315315315315313,2.5684528892979674,0.98,-1.02,1.308302044221945,0.8318513932506316,0.40549283078266685,51.08186816901852,63.97293130105254,NO
12,Sunday,229,132,97,57.64192139737992,30.419999999999995,0.13283842794759823,2.562432865309375,0.98,-1.02,1.3074590661006675,0.8400788847928946,0.40086415825940014,51.167665290213925,63.86401289787618,NO
8,Thursday,316,182,134,57.59493670886076,41.67999999999999,0.13189873417721518,2.5454688647077663,0.98,-1.02,1.3049458589405922,0.9700535323448332,0.3320198093385789,52.08680960090742,62.920619076287785,NO
20,Tuesday,205,118,87,57.56097560975609,26.899999999999995,0.13121951219512193,2.529916804575796,0.98,-1.02,1.3031327473518157,0.7715486474362534,0.44038179914156017,50.717062618789186,64.12672329359607,NO
12,Monday,219,126,93,57.534246575342465,28.619999999999997,0.13068493150684932,2.51979673307925,0.98,-1.02,1.3017077798861492,0.7895101277438042,0.42981391278167136,50.91312467717734,63.895600444164444,NO
19,Tuesday,221,127,94,57.466063348416284,28.579999999999995,0.12932126696832577,2.4930332873680365,0.98,-1.02,1.2980809345014614,0.772737443849268,0.43967778190560214,50.87487919540824,63.80212007874743,NO
11,Monday,235,135,100,57.446808510638306,30.299999999999997,0.12893617021276593,2.485799969700237,0.98,-1.02,1.2970588235294127,0.7909057411146214,0.4289989979416424,51.055417753225775,63.598645860483074,NO
22,Friday,223,128,95,57.399103139013455,28.539999999999996,0.12798206278026905,2.46676440825693,0.98,-1.02,1.294530443756451,0.7561316190810292,0.4495702861048898,50.83745832104341,63.71013788705952,NO
21,Friday,230,132,98,57.391304347826086,29.399999999999995,0.12782608695652173,2.463868848692501,0.98,-1.02,1.294117647058824,0.7655306227485832,0.4439556387013428,50.93049477954924,63.60926204729422,NO
16,Monday,150,86,64,57.333333333333336,18.999999999999996,0.12666666666666665,2.4382505428660965,0.98,-1.02,1.2910539215686283,0.6039537037853577,0.5458744224701484,49.332380166580926,64.96804312594854,NO
6,Saturday,199,114,85,57.286432160804026,25.019999999999996,0.12572864321608038,2.421853731800127,0.98,-1.02,1.2885813148788938,0.6823441041966744,0.4950213910525867,50.3395565503407,63.95731351970411,NO
21,Saturday,222,127,95,57.20720720720721,27.559999999999995,0.12414414414414413,2.391396758857871,0.98,-1.02,1.284416924664604,0.6969763913526442,0.4858175686447319,50.630400659589,63.53882237106612,NO
20,Friday,229,131,98,57.20524017467249,28.419999999999995,0.12410480349344975,2.390790419358064,0.98,-1.02,1.2843137254901968,0.7072812898100335,0.47939169041953056,50.72990796741207,63.4428171813586,NO
19,Friday,250,143,107,57.199999999999996,30.999999999999996,0.12399999999999999,2.389174616750222,0.98,-1.02,1.2840388491845345,0.7373349539856364,0.4609186808261114,51.00318342948803,63.17888917011738,NO
17,Sunday,140,80,60,57.14285714285714,17.199999999999996,0.12285714285714283,2.36302135844689,0.98,-1.02,1.2810457516339873,0.5381836317788494,0.5904502791783071,48.862489123648714,65.04169436707997,NO
19,Sunday,175,100,75,57.14285714285714,21.499999999999996,0.12285714285714283,2.364720762735906,0.98,-1.02,1.281045751633988,0.6017075925176117,0.5473687951607789,49.73485763125096,64.2439929270084,NO
