# Precision Temporal Analysis Matrix
# Baseline WR: 54.88%
hour,day_name,quarter,trades,wins,losses,win_rate,total_pnl,avg_pnl,sharpe,best_trade,worst_trade,profit_factor
14,Tuesday,Q3,71,42,29,59.154929577464785,11.579999999999998,0.16309859154929576,3.147177208351535,0.98,-1.02,1.3914807302231238
8,Thursday,Q2,83,49,34,59.036144578313255,13.339999999999998,0.16072289156626504,3.10314913259367,0.98,-1.02,1.3846597462514416
15,Sunday,Q4,39,23,16,58.97435897435898,6.219999999999999,0.15948717948717947,3.057330625664574,0.98,-1.02,1.3811274509803924
0,Monday,Q4,39,23,16,58.97435897435898,6.219999999999999,0.15948717948717947,3.0573306256645734,0.98,-1.02,1.3811274509803924
0,Monday,Q1,39,23,16,58.97435897435898,6.219999999999999,0.15948717948717947,3.057330625664572,0.98,-1.02,1.3811274509803924
14,Sunday,Q4,56,33,23,58.92857142857143,8.879999999999999,0.15857142857142856,3.051376840234259,0.98,-1.02,1.3785166240409208
20,Friday,Q1,56,33,23,58.92857142857143,8.879999999999999,0.15857142857142856,3.051376840234259,0.98,-1.02,1.3785166240409208
0,Tuesday,Q1,56,33,23,58.92857142857143,8.879999999999999,0.15857142857142856,3.051376840234259,0.98,-1.02,1.3785166240409208
3,Thursday,Q2,73,43,30,58.9041095890411,11.54,0.15808219178082192,3.04812103769931,0.98,-1.02,1.377124183006536
15,Saturday,Q4,68,40,28,58.82352941176471,10.639999999999999,0.1564705882352941,3.0146159886167143,0.98,-1.02,1.3725490196078434
6,Sunday,Q3,51,30,21,58.82352941176471,7.979999999999999,0.15647058823529408,3.007107593424513,0.98,-1.02,1.3725490196078434
17,Saturday,Q2,51,30,21,58.82352941176471,7.979999999999999,0.15647058823529408,3.0071075934245135,0.98,-1.02,1.3725490196078434
14,Sunday,Q1,58,34,24,58.620689655172406,8.84,0.15241379310344827,2.9305359489820044,0.98,-1.02,1.3611111111111107
5,Tuesday,Q1,58,34,24,58.620689655172406,8.84,0.15241379310344827,2.9305359489820058,0.98,-1.02,1.3611111111111107
1,Friday,Q2,58,34,24,58.620689655172406,8.84,0.15241379310344827,2.9305359489820044,0.98,-1.02,1.3611111111111107
1,Friday,Q4,58,34,24,58.620689655172406,8.84,0.15241379310344827,2.9305359489820053,0.98,-1.02,1.3611111111111107
23,Saturday,Q3,58,34,24,58.620689655172406,8.84,0.15241379310344827,2.9305359489820044,0.98,-1.02,1.3611111111111107
4,Thursday,Q3,70,41,29,58.57142857142858,10.599999999999998,0.15142857142857138,2.915458741878838,0.98,-1.02,1.3583502366463827
10,Sunday,Q1,70,41,29,58.57142857142858,10.599999999999998,0.15142857142857138,2.915458741878838,0.98,-1.02,1.3583502366463827
12,Sunday,Q2,53,31,22,58.490566037735846,7.9399999999999995,0.14981132075471698,2.8767921745050566,0.98,-1.02,1.3538324420677363
4,Tuesday,Q1,53,31,22,58.490566037735846,7.9399999999999995,0.14981132075471698,2.8767921745050566,0.98,-1.02,1.3538324420677363
8,Monday,Q3,65,38,27,58.46153846153847,9.7,0.14923076923076922,2.8704355435937803,0.98,-1.02,1.3522149600580966
5,Wednesday,Q4,65,38,27,58.46153846153847,9.7,0.14923076923076922,2.8704355435937807,0.98,-1.02,1.3522149600580966
0,Wednesday,Q3,48,28,20,58.333333333333336,7.039999999999999,0.14666666666666664,2.8120522924081786,0.98,-1.02,1.3450980392156864
8,Thursday,Q1,84,49,35,58.333333333333336,12.319999999999999,0.14666666666666664,2.8248441050236863,0.98,-1.02,1.345098039215686
5,Monday,Q4,67,39,28,58.2089552238806,9.659999999999998,0.14417910447761192,2.7715122992328722,0.98,-1.02,1.3382352941176463
10,Friday,Q1,67,39,28,58.2089552238806,9.659999999999998,0.14417910447761192,2.771512299232872,0.98,-1.02,1.3382352941176463
14,Tuesday,Q4,62,36,26,58.06451612903226,8.759999999999998,0.14129032258064514,2.7130118526565785,0.98,-1.02,1.3303167420814475
10,Tuesday,Q4,81,47,34,58.0246913580247,11.379999999999999,0.14049382716049383,2.702544135525333,0.98,-1.02,1.3281430219146475
22,Friday,Q3,50,29,21,57.99999999999999,6.999999999999999,0.13999999999999999,2.6823711418311844,0.98,-1.02,1.3267973856209152
23,Sunday,Q1,50,29,21,57.99999999999999,6.999999999999999,0.13999999999999999,2.6823711418311844,0.98,-1.02,1.3267973856209152
16,Friday,Q1,50,29,21,57.99999999999999,6.999999999999999,0.13999999999999999,2.6823711418311844,0.98,-1.02,1.3267973856209152
5,Sunday,Q1,50,29,21,57.99999999999999,6.999999999999999,0.13999999999999999,2.682371141831185,0.98,-1.02,1.3267973856209152
21,Saturday,Q3,57,33,24,57.89473684210527,7.859999999999999,0.13789473684210526,2.644435492682725,0.98,-1.02,1.3210784313725488
22,Saturday,Q1,57,33,24,57.89473684210527,7.859999999999999,0.13789473684210526,2.644435492682725,0.98,-1.02,1.3210784313725488
1,Monday,Q4,38,22,16,57.89473684210527,5.239999999999999,0.13789473684210524,2.6326035071914173,0.98,-1.02,1.3210784313725492
8,Friday,Q2,90,52,38,57.77777777777777,12.2,0.13555555555555554,2.6070931330005367,0.98,-1.02,1.3147574819401437
16,Friday,Q3,45,26,19,57.77777777777777,6.1,0.13555555555555554,2.592405167485719,0.98,-1.02,1.3147574819401446
3,Saturday,Q2,45,26,19,57.77777777777777,6.1,0.13555555555555554,2.592405167485718,0.98,-1.02,1.3147574819401446
1,Tuesday,Q4,71,41,30,57.74647887323944,9.579999999999998,0.1349295774647887,2.5908915558475947,0.98,-1.02,1.3130718954248366
0,Thursday,Q1,52,30,22,57.692307692307686,6.959999999999999,0.13384615384615384,2.562932242241624,0.98,-1.02,1.3101604278074868
12,Wednesday,Q3,85,49,36,57.647058823529406,11.299999999999999,0.13294117647058823,2.5549109628343616,0.98,-1.02,1.307734204793028
14,Monday,Q4,59,34,25,57.6271186440678,7.8199999999999985,0.1325423728813559,2.5403977401119873,0.98,-1.02,1.3066666666666664
21,Monday,Q2,59,34,25,57.6271186440678,7.8199999999999985,0.1325423728813559,2.5403977401119886,0.98,-1.02,1.3066666666666664
17,Tuesday,Q2,33,19,14,57.57575757575758,4.34,0.1315151515151515,2.5031297793332667,0.98,-1.02,1.3039215686274512
11,Wednesday,Q2,73,42,31,57.534246575342465,9.54,0.13068493150684932,2.5082113993766826,0.98,-1.02,1.301707779886148
1,Monday,Q3,40,23,17,57.49999999999999,5.199999999999999,0.12999999999999998,2.480468460828768,0.98,-1.02,1.2998846597462517
20,Saturday,Q2,47,27,20,57.446808510638306,6.059999999999999,0.12893617021276593,2.4644622361633326,0.98,-1.02,1.2970588235294118
20,Thursday,Q1,61,35,26,57.377049180327866,7.779999999999999,0.12754098360655736,2.4433520406891196,0.98,-1.02,1.2933634992458518
1,Thursday,Q1,61,35,26,57.377049180327866,7.779999999999999,0.12754098360655736,2.443352040689119,0.98,-1.02,1.2933634992458518
11,Saturday,Q3,61,35,26,57.377049180327866,7.779999999999999,0.12754098360655736,2.4433520406891196,0.98,-1.02,1.2933634992458518
