hour,day_name,quarter,trades,wins,pnl,win_rate
4,Wednesday,Q2,66,33,-1.3200000000000012,50.0
4,Wednesday,Q3,63,39,13.739999999999998,61.904761904761905
4,Wednesday,Q4,60,31,0.7999999999999989,51.66666666666667
5,Friday,Q1,60,30,-1.200000000000001,50.0
5,Friday,Q2,63,30,-4.260000000000002,47.61904761904761
5,Friday,Q3,66,36,4.679999999999999,54.54545454545454
5,Friday,Q4,72,47,20.56,65.27777777777779
5,Monday,Q1,54,23,-9.080000000000002,42.592592592592595
5,Monday,Q2,62,35,6.759999999999999,56.451612903225815
5,Monday,Q3,68,35,0.6399999999999988,51.470588235294116
5,Monday,Q4,67,39,9.659999999999998,58.2089552238806
5,Saturday,Q1,43,29,14.139999999999999,67.44186046511628
5,Saturday,Q2,50,27,2.999999999999999,54.0
5,Saturday,Q3,52,31,8.959999999999999,59.61538461538461
5,Saturday,Q4,49,32,14.02,65.3061224489796
5,Sunday,Q1,50,29,6.999999999999999,57.99999999999999
5,Sunday,Q2,56,36,14.879999999999999,64.28571428571429
5,Sunday,Q3,48,24,-0.9600000000000009,50.0
5,Sunday,Q4,56,35,12.879999999999999,62.5
5,Thursday,Q1,63,34,3.739999999999999,53.96825396825397
5,Thursday,Q2,70,44,16.599999999999998,62.857142857142854
5,Thursday,Q3,74,33,-9.48,44.5945945945946
5,Thursday,Q4,70,35,-1.4000000000000012,50.0
5,Tuesday,Q1,58,34,8.84,58.620689655172406
5,Tuesday,Q2,61,26,-10.22,42.62295081967213
5,Tuesday,Q3,69,38,5.619999999999999,55.072463768115945
5,Tuesday,Q4,66,35,2.679999999999999,53.03030303030303
5,Wednesday,Q1,62,34,4.759999999999999,54.83870967741935
5,Wednesday,Q2,67,36,3.659999999999999,53.73134328358209
5,Wednesday,Q3,72,30,-13.440000000000001,41.66666666666667
5,Wednesday,Q4,65,38,9.7,58.46153846153847
6,Friday,Q1,63,41,17.74,65.07936507936508
6,Friday,Q2,79,38,-4.580000000000002,48.10126582278481
6,Friday,Q3,76,36,-5.520000000000001,47.368421052631575
6,Friday,Q4,75,43,9.499999999999998,57.333333333333336
6,Monday,Q1,63,31,-2.260000000000001,49.2063492063492
6,Monday,Q2,61,33,3.779999999999999,54.09836065573771
6,Monday,Q3,68,29,-11.360000000000001,42.64705882352941
6,Monday,Q4,70,40,8.599999999999998,57.14285714285714
6,Saturday,Q1,45,27,8.1,60.0
6,Saturday,Q2,52,31,8.959999999999999,59.61538461538461
6,Saturday,Q3,54,30,4.919999999999999,55.55555555555556
6,Saturday,Q4,48,26,3.039999999999999,54.166666666666664
6,Sunday,Q1,45,28,10.1,62.22222222222222
6,Sunday,Q2,49,23,-3.980000000000001,46.93877551020408
6,Sunday,Q3,51,30,7.979999999999999,58.82352941176471
6,Sunday,Q4,62,33,2.759999999999999,53.2258064516129
6,Thursday,Q1,78,41,2.4399999999999986,52.56410256410257
6,Thursday,Q2,72,37,0.5599999999999987,51.388888888888886
6,Thursday,Q3,73,34,-6.460000000000001,46.57534246575342
6,Thursday,Q4,74,49,22.52,66.21621621621621
6,Tuesday,Q1,79,38,-4.580000000000002,48.10126582278481
6,Tuesday,Q2,77,43,7.459999999999999,55.84415584415584
6,Tuesday,Q3,86,46,4.2799999999999985,53.48837209302325
6,Tuesday,Q4,73,44,13.54,60.273972602739725
6,Wednesday,Q1,77,47,15.459999999999999,61.038961038961034
6,Wednesday,Q2,77,47,15.459999999999999,61.038961038961034
6,Wednesday,Q3,76,31,-15.520000000000001,40.78947368421053
6,Wednesday,Q4,84,54,22.32,64.28571428571429
7,Friday,Q1,78,32,-15.560000000000002,41.02564102564102
7,Friday,Q2,75,37,-2.5000000000000013,49.333333333333336
7,Friday,Q3,90,41,-9.8,45.55555555555556
7,Friday,Q4,90,48,4.199999999999998,53.333333333333336
7,Monday,Q1,67,38,7.659999999999998,56.71641791044776
7,Monday,Q2,71,32,-8.420000000000002,45.07042253521127
7,Monday,Q3,73,34,-6.460000000000001,46.57534246575342
7,Monday,Q4,68,36,2.639999999999999,52.94117647058824
7,Saturday,Q1,51,25,-2.020000000000001,49.01960784313725
7,Saturday,Q2,56,38,18.88,67.85714285714286
